"RECEPTION_ID"|"DOC_ID"|"DELETION_DATE"|"ESTIMATED_TOTAL"|"ESTIMATED_TOTAL_CUR"|"PROCUREMENT_TOTAL"|"PROCUREMENT_TOTAL_CUR"|"FORM"|"COLL_OJ"|"NO_OJ"|"DATE_PUB"|"NO_DOC_OJS"|"URI_DOC"|"LG_ORIG"|"ISO_COUNTRY"|"IA_URL_GENERAL"|"IA_URL_ETENDERING"|"ORIGINAL_CPV_Text"|"ORIGINAL_CPV"|"ORIGINAL_NUTS_Text"|"ORIGINAL_NUTS"|"CA_CE_NUTS_Text"|"CA_CE_NUTS"|"REF_NO_DOC_OJS"|"DS_DATE_DISPATCH"|"DT_DATE_FOR_SUBMISSION"|"AA_AUTHORITY_TYPE"|"AA_AUTHORITY_TYPE_Text"|"TD_DOCUMENT_TYPE"|"TD_DOCUMENT_TYPE_Text"|"NC_CONTRACT_NATURE"|"NC_CONTRACT_NATURE_Text"|"PR_PROC"|"PR_PROC_Text"|"RP_REGULATION"|"RP_REGULATION_Text"|"TY_TYPE_BID"|"TY_TYPE_BID_Text"|"AC_AWARD_CRIT"|"AC_AWARD_CRIT_Text"|"MA_MAIN_ACTIVITIES"|"MA_MAIN_ACTIVITIES_Text"|"HEADING"|"INITIATOR"|"AA_NAME_EN"|"AA_NAME_ORIG"|"LEGAL_BASIS"|"NOTICE_UUID"|"OFFICIALNAME"|"ADDRESS"|"TOWN"|"POSTCODE"|"TITLE"|"SHORT_DESC_ENG"|"SHORT_DESC_ORIGINAL"|"LONG_DESC_ENG"|"LONG_DESC_ORIGINAL"|"CONTRACTOR_OFFICIALNAME_EN"|"CONTRACTOR_OFFICIALNAME_ORIG"|"CONTRACTOR_ADRESS_EN"|"CONTRACTOR_ADRESS_ORIG"|"CONTRACTOR_TOWN_EN"|"CONTRACTOR_TOWN_ORIG"|"CONTRACTOR_PCODE_EN"|"CONTRACTOR_PCODE_ORIG"|"CONTRACTOR_COUNTRY_EN"|"CONTRACTOR_COUNTRY_ORIG"|"CRIT"|"VAL_ESTIMATED_TOTAL"|"VAL_ESTIMATED_TOTAL_CUR"|"VAL_TOTAL"|"VAL_TOTAL_CUR"|"ANZAHL_LOTS"|"namespace"
"20-103939-001"|"102691-2020"|2020-06-06|"0,01"|EUR|keine Angabe|keine Angabe|"18"|S|43|2020-03-02|"2020/S 043-102691"|http://ted.europa.eu/udl?uri=TED:NOTICE:102691-2020:TEXT:DE:HTML|DE|DE|http://www.evergabe-online.de/|http://www.evergabe-online.de/|Diesel fuel (EN 590)|9134220|DEUTSCHLAND|DE|keine Angabe|keine Angabe|"2019/S 163-401576"|2020-02-27|keine Angabe|"1"|Ministry or any other national or federal authority|"7"|Contract award notice|"2"|Supplies|V|Contract award without prior publication|"4"|European Union|"9"|Not applicable|"1"|Lowest price|D|Defence|"01218"|keine Angabe|keine Angabe|Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr|keine Angabe|keine Angabe|Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr|Ferdinand-Sauerbruch-Str.|Koblenz|"56073"|Lieferung/Bereitstellung von Dieselkraftstoff – DIN EN 590|""|Lieferung und/oder Bereitstellung von Dieselkraftstoff nach DIN EN 590 – (B7 und B0 Ware).|""|Lieferung und/oder Bereitstellung von Dieselkraftstoff nach DIN EN 590 – (B7 und B0 Ware).|keine Angabe|Präg Energie GmbH & Co. KG|keine Angabe|Siegfried-Rädel-Str. 13|keine Angabe|Heidenau|keine Angabe|"01809"|keine Angabe|DE|""|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"3"|{http://publications.europa.eu/resource/schema/ted/R2.0.8/publication}TED_EXPORT
"20-103939-001"|"102691-2020"|2020-06-06|"0,01"|EUR|keine Angabe|keine Angabe|"18"|S|43|2020-03-02|"2020/S 043-102691"|http://ted.europa.eu/udl?uri=TED:NOTICE:102691-2020:TEXT:DE:HTML|DE|DE|http://www.evergabe-online.de/|http://www.evergabe-online.de/|Diesel fuel (EN 590)|9134220|DEUTSCHLAND|DE|keine Angabe|keine Angabe|"2019/S 163-401576"|2020-02-27|keine Angabe|"1"|Ministry or any other national or federal authority|"7"|Contract award notice|"2"|Supplies|V|Contract award without prior publication|"4"|European Union|"9"|Not applicable|"1"|Lowest price|D|Defence|"01218"|keine Angabe|keine Angabe|Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr|keine Angabe|keine Angabe|Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr|Ferdinand-Sauerbruch-Str.|Koblenz|"56073"|Lieferung/Bereitstellung von Dieselkraftstoff – DIN EN 590|""|Lieferung und/oder Bereitstellung von Dieselkraftstoff nach DIN EN 590 – (B7 und B0 Ware).|""|""|keine Angabe|Präg Energie GmbH & Co. KG|keine Angabe|Siegfried-Rädel-Str. 13|keine Angabe|Heidenau|keine Angabe|"01809"|keine Angabe|DE|""|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"3"|{http://publications.europa.eu/resource/schema/ted/R2.0.8/publication}TED_EXPORT
"20-110580-001"|"109398-2020"|2020-06-11|keine Angabe|keine Angabe|"712994.81"|EUR|F06|S|46|2020-03-05|"2020/S 046-109398"|http://ted.europa.eu/udl?uri=TED:NOTICE:109398-2020:TEXT:IT:HTML|IT|IT|www.abbanoa.it|keine Angabe|Window frames|44221110|Sardegna|ITG2|keine Angabe|keine Angabe|"2019/S 147-362924"|2020-03-03|keine Angabe|"4"|Utilities entity|"7"|Contract award notice|"2"|Supplies|"1"|Open procedure|"4"|European Union|"9"|Not applicable|"1"|Lowest price|W|Water|"01F06"|"01"|keine Angabe|Abbanoa S.p.A.|"32014L0025"|keine Angabe|Abbanoa S.p.A.|Via Straullu 35|Nuoro|"08100"|Appalto della fornitura e montaggio di serramenti ed infissi presso gli impianti di depurazione, sollevamenti fognari, di potabilizzazione e delle dighe gestiti da Abbanoa S.p.A.|""|L’appalto ha per oggetto l’affidamento — mediante accordo quadro della durata di 24 mesi con un unico operatore economico per ciascun lotto ai sensi dell’art. 54 del D.Lgs. 50/2016 — della fornitura e montaggio di serramenti ed infissi presso gli impianti di depurazione, sollevamenti fognari, di potabilizzazione e delle dighe gestiti da Abbanoa S.p.A.|""|L’appalto ha per oggetto l’affidamento — mediante accordo quadro della durata di 24 mesi con un unico operatore economico per ciascun lotto ai sensi dell’art. 54 del D.Lgs. 50/2016 — della fornitura e montaggio di serramenti ed infissi presso gli impianti di depurazione, sollevamenti fognari, di potabilizzazione e delle dighe gestiti da Abbanoa S.p.A.|keine Angabe|New System|keine Angabe|keine Angabe|keine Angabe|Montalto Uffugo|keine Angabe|keine Angabe|keine Angabe|IT|""|"102450.95"|EUR|"78455.95"|EUR|"6"|{http://publications.europa.eu/resource/schema/ted/R2.0.9/publication}TED_EXPORT
"20-426415-001"|"414017-2020"|2020-12-09|keine Angabe|keine Angabe|"0.01"|EUR|F03|S|172|2020-09-04|"2020/S 172-414017"|http://ted.europa.eu/udl?uri=TED:NOTICE:414017-2020:TEXT:DE:HTML|DE|DE|http://www.gdekk.de|keine Angabe|Road salt|34927100|Nürnberger Land|DE259|keine Angabe|keine Angabe|"2019/S 121-296021"|2020-08-31|keine Angabe|"8"|Other|"7"|Contract award notice|"2"|Supplies|"1"|Open procedure|"4"|European Union|"9"|Not applicable|"1"|Lowest price|H|Health|"01B03"|"01"|keine Angabe|GDEKK GmbH|"32014L0024"|keine Angabe|GDEKK GmbH|Gereonstraße 18-32|Köln|"50670"|Taumittel 2019|""|Beschaffung von Taumitteln|""|Beschaffung von Taumitteln|keine Angabe|Hamann GmbH|keine Angabe|Krayerstr. 38|keine Angabe|Nickenich|keine Angabe|"56645"|keine Angabe|DE|""|keine Angabe|keine Angabe|"0.01"|EUR|"33"|{http://publications.europa.eu/resource/schema/ted/R2.0.9/publication}TED_EXPORT
"20-103939-001"|"102691-2020"|2020-06-06|"0,01"|EUR|keine Angabe|keine Angabe|"18"|S|43|2020-03-02|"2020/S 043-102691"|http://ted.europa.eu/udl?uri=TED:NOTICE:102691-2020:TEXT:DE:HTML|DE|DE|http://www.evergabe-online.de/|http://www.evergabe-online.de/|Diesel fuel (EN 590)|9134220|DEUTSCHLAND|DE|keine Angabe|keine Angabe|"2019/S 163-401576"|2020-02-27|keine Angabe|"1"|Ministry or any other national or federal authority|"7"|Contract award notice|"2"|Supplies|V|Contract award without prior publication|"4"|European Union|"9"|Not applicable|"1"|Lowest price|D|Defence|"01218"|keine Angabe|keine Angabe|Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr|keine Angabe|keine Angabe|Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr|Ferdinand-Sauerbruch-Str.|Koblenz|"56073"|Lieferung/Bereitstellung von Dieselkraftstoff – DIN EN 590|""|Lieferung und/oder Bereitstellung von Dieselkraftstoff nach DIN EN 590 – (B7 und B0 Ware).|""|""|keine Angabe|Spedition Alfons Hauer GmbH & Co. KG|keine Angabe|Philipp-Karl-Str. 11|keine Angabe|Weiden|keine Angabe|"92637"|keine Angabe|DE|""|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"3"|{http://publications.europa.eu/resource/schema/ted/R2.0.8/publication}TED_EXPORT
"20-101687-001"|"102694-2020"|2020-03-26|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"17"|S|43|2020-03-02|"2020/S 043-102694"|http://ted.europa.eu/udl?uri=TED:NOTICE:102694-2020:TEXT:DA:HTML|DA|DK|http://www.politi.dk|http://eu.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=262140&B=RIGSPOLITIET|Minibuses|34114400|DANMARK|DK|keine Angabe|keine Angabe|keine Angabe|2020-02-26|"20200326 09:00"|"1"|Ministry or any other national or federal authority|"3"|Contract notice|"4"|Services|"4"|Negotiated procedure|"4"|European Union|"1"|Submission for all lots|"2"|The most economic tender|U|Public order and safety|"01317"|keine Angabe|keine Angabe|Rigspolitiet|keine Angabe|keine Angabe|Rigspolitiet|Polititorvet 14|København V|"1780"|Udbud med forhandling af minibusser og kassevogne|""|Rigspolitiet udbyder hermed rammeaftale om levering af henholdsvis minibusser og kassevogne, inklusiv opbygning, service- og værkstedsydelser samt reservedele, sliddele og komponenter. Udbuddet omfatter 2 delaftaler. Delaftale 1 omfatter minibusser og delaftale 2 omfatter kassevogne.|""|Rigspolitiet udbyder hermed rammeaftale om levering af henholdsvis minibusser og kassevogne, inklusiv opbygning, service- og værkstedsydelser samt reservedele, sliddele og komponenter. Udbuddet omfatter 2 delaftaler. Delaftale 1 omfatter minibusser og delaftale 2 omfatter kassevogne.XXXXX|keine Angabe|Klagenævnet for udbud|keine Angabe|Nævnenes Hus, Toldboden 2|keine Angabe|Viborg|keine Angabe|"8800"|keine Angabe|DK|""|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"2"|{http://publications.europa.eu/resource/schema/ted/R2.0.8/publication}TED_EXPORT
"20-507339-001"|"488661-2020"|2021-01-21|keine Angabe|keine Angabe|"5024556.32"|PLN|F03|S|202|2020-10-16|"2020/S 202-488661"|http://ted.europa.eu/udl?uri=TED:NOTICE:488661-2020:TEXT:PL:HTML|PL|PL|http://www.voltra.pl|keine Angabe|Electricity|9310000|POLSKA|PL|keine Angabe|keine Angabe|"2020/S 017-035734"|2020-10-13|keine Angabe|"8"|Other|"7"|Contract award notice|"2"|Supplies|"1"|Open procedure|"4"|European Union|"9"|Not applicable|"1"|Lowest price|S|General public services|"01B03"|"01"|keine Angabe|Gmina Adamów|"32014L0024"|keine Angabe|Gmina Adamów|Adamów 11 b|Adamów|"22-442"|Przetarg nieograniczony na dostawe energii elektrycznej – Grupa Zakupowa nr XXIX/2020 Voltra|""|Przetarg nieograniczony na dostawe energii elektrycznej (dostawa energii elektrycznej – Grupa Zakupowa nr XXIX/2020 Voltra) dla jednostek wskazanych w sekcji I.|""|Przedmiotem zamówienia jest dostawa energii elektrycznej zgodnie z obowiazujacymi przepisami, standardami jakosciowymi ustawy PE oraz przepisami wykonawczymi w szczególnosci rozporzadzenia Ministra Gospodarki z 4.5.2007 w sprawie szczególnych warunków funkcjonowania systemu elektroenergetycznego dla podmiotowych punktów poboru bioracych udzial w postepowaniu, których wykaz znajduje sie zalaczniku nr 1.a, 1.b, 1.c do SIWZ.|keine Angabe|Enea S.A.|keine Angabe|ul. Górecka1|keine Angabe|Poznań|keine Angabe|"60-201"|keine Angabe|PL|""|"1933103.74"|PLN|keine Angabe|keine Angabe|"4"|{http://publications.europa.eu/resource/schema/ted/R2.0.9/publication}TED_EXPORT
"20-101687-001"|"102694-2020"|2020-03-26|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"17"|S|43|2020-03-02|"2020/S 043-102694"|http://ted.europa.eu/udl?uri=TED:NOTICE:102694-2020:TEXT:DA:HTML|DA|DK|http://www.politi.dk|http://eu.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=262140&B=RIGSPOLITIET|Minibuses|34114400|DANMARK|DK|keine Angabe|keine Angabe|keine Angabe|2020-02-26|"20200326 09:00"|"1"|Ministry or any other national or federal authority|"3"|Contract notice|"4"|Services|"4"|Negotiated procedure|"4"|European Union|"1"|Submission for all lots|"2"|The most economic tender|U|Public order and safety|"01317"|keine Angabe|keine Angabe|Rigspolitiet|keine Angabe|keine Angabe|Rigspolitiet|Polititorvet 14|København V|"1780"|Udbud med forhandling af minibusser og kassevogne|""|Rigspolitiet udbyder hermed rammeaftale om levering af henholdsvis minibusser og kassevogne, inklusiv opbygning, service- og værkstedsydelser samt reservedele, sliddele og komponenter. Udbuddet omfatter 2 delaftaler. Delaftale 1 omfatter minibusser og delaftale 2 omfatter kassevogne.|""|XXXXX|keine Angabe|Konkurrence- og Forbrugerstyrelsen|keine Angabe|Carl Jacobsens Vej 35|keine Angabe|Valby|keine Angabe|"2500"|keine Angabe|DK|""|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"2"|{http://publications.europa.eu/resource/schema/ted/R2.0.8/publication}TED_EXPORT
"20-103664-001"|"102718-2020"|2020-06-06|keine Angabe|keine Angabe|"1"|NOK|F03|S|43|2020-03-02|"2020/S 043-102718"|http://ted.europa.eu/udl?uri=TED:NOTICE:102718-2020:TEXT:EN:HTML|EN|NO|http://www.nri.no|keine Angabe|Surface work for roads|45233220|Akershus|NO012|keine Angabe|keine Angabe|"2019/S 239-587839"|2020-02-27|keine Angabe|"8"|Other|"7"|Contract award notice|"1"|Works|"1"|Open procedure|B|European Economic Area (EEA), with participation by GPA countries|"9"|Not applicable|"2"|The most economic tender|S|General public services|"03A03"|"03"|Nedre Romerike Innkjøpssamarbeid NRI|Nedre Romerike Innkjøpssamarbeid NRI|"32014L0024"|keine Angabe|Nedre Romerike Innkjøpssamarbeid NRI|Kuskerudvegen 11|Sørumsand|"1920"|Asphalt Works for 5 Municipalities, Framework Agreement|The competition concerns the delivery of asphalt works on municipal roads, streets, foot and cycle paths, pavements, squares, parking places, some private roads and any selected new installations that are operated and maintained by the individual municipalities.The annual value of the procurement is estimated to be: 15 000 000 NOK-30 000 000 NOK excluding VAT per year. The value is an estimate and, thus, not binding. See the tender documentation for further information.|The competition concerns the delivery of asphalt works on municipal roads, streets, foot and cycle paths, pavements, squares, parking places, some private roads and any selected new installations that are operated and maintained by the individual municipalities.The annual value of the procurement is estimated to be: 15 000 000 NOK-30 000 000 NOK excluding VAT per year. The value is an estimate and, thus, not binding. See the tender documentation for further information.|Lots/groupsTenders cannot be submitted for parts of the assignment and alternative tenders are not allowed. The contracting authority has considered dividing up the assignment in accordance with PPR §19-4, but has decided that this is not suitable for this type of contract.|Lots/groupsTenders cannot be submitted for parts of the assignment and alternative tenders are not allowed. The contracting authority has considered dividing up the assignment in accordance with PPR §19-4, but has decided that this is not suitable for this type of contract.|NCC Industry AS|NCC Industry AS|Innspurten 9|Innspurten 9|Oslo|Oslo|"0663"|"0663"|NO|NO|""|keine Angabe|keine Angabe|"1"|NOK|"1"|{http://publications.europa.eu/resource/schema/ted/R2.0.9/publication}TED_EXPORT
"20-103796-001"|"102719-2020"|2020-06-06|keine Angabe|keine Angabe|keine Angabe|keine Angabe|F03|S|43|2020-03-02|"2020/S 043-102719"|http://ted.europa.eu/udl?uri=TED:NOTICE:102719-2020:TEXT:EN:HTML|EN|NO|http://www.moss.kommune.no|keine Angabe|Installation of cable laying|45314310|Sør-Østlandet|NO03|keine Angabe|keine Angabe|"2020/S 034-081555"|2020-02-27|keine Angabe|R|Regional or local Agency/Office|"7"|Contract award notice|"1"|Works|B|Competitive procedure with negotiation|B|European Economic Area (EEA), with participation by GPA countries|"9"|Not applicable|"1"|Lowest price|S|General public services|"03A03"|"03"|MK Eiendom KF|MK Eiendom KF|"32014L0024"|keine Angabe|MK Eiendom KF|Værftsgata 7, Pb. 175|Moss|"1501"|Provisional Cable Installations at Mosseporten Transformer Station|The establishment of a provisional cable installations at Mosseporten transformation station.|The establishment of a provisional cable installations at Mosseporten transformation station.|The establishment of a provisional cable installations at Mosseporten transformation station.|The establishment of a provisional cable installations at Mosseporten transformation station.|keine Angabe|keine Angabe|keine Angabe|keine Angabe|keine Angabe|keine Angabe|keine Angabe|keine Angabe|keine Angabe|keine Angabe|""|keine Angabe|keine Angabe|keine Angabe|keine Angabe|"1"|{http://publications.europa.eu/resource/schema/ted/R2.0.9/publication}TED_EXPORT
