original_cpv,Original_cpv_text
45233220,Surface work for roads
45314310,Installation of cable laying
45231400,Construction work for electricity power lines
45100000,Site preparation work
45100000,Site preparation work
45100000,Site preparation work
38421100,Water meters
39514000,Toilet and kitchen linen
34144710,Wheeled loaders
39711310,Electric coffee makers
33111600,Radiography devices
3121100,"Live plants, bulbs, roots, cuttings and slips"
48000000,Software package and information systems
38510000,Microscopes
35811200,Police uniforms
35811200,Police uniforms
33698100,Microbiological cultures
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
98341130,Janitorial services
98341130,Janitorial services
98341130,Janitorial services
90710000,Environmental management
90911000,"Accommodation, building and window cleaning services"
90911000,"Accommodation, building and window cleaning services"
90911000,"Accommodation, building and window cleaning services"
22000000,Printed matter and related products
72314000,Data collection and collation services
72314000,Data collection and collation services
66100000,Banking and investment services
45211100,Construction work for houses
45000000,Construction work
79418000,Procurement consultancy services
38433100,Mass spectrometer
32000000,"Radio, television, communication, telecommunication and related equipment"
18100000,"Occupational clothing, special workwear and accessories"
18100000,"Occupational clothing, special workwear and accessories"
48000000,Software package and information systems
72000000,"IT services: consulting, software development, Internet and support"
90910000,Cleaning services
85100000,Health services
85100000,Health services
50413200,Repair and maintenance services of firefighting equipment
90620000,Snow-clearing services
90620000,Snow-clearing services
90620000,Snow-clearing services
72000000,"IT services: consulting, software development, Internet and support"
60000000,Transport services (excl. Waste transport)
60170000,Hire of passenger transport vehicles with driver
85100000,Health services
71354500,Marine survey services
85311300,Welfare services for children and young people
85311300,Welfare services for children and young people
85311300,Welfare services for children and young people
85311300,Welfare services for children and young people
85311300,Welfare services for children and young people
85311300,Welfare services for children and young people
85300000,Social work and related services
66510000,Insurance services
66511000,Life insurance services
60000000,Transport services (excl. Waste transport)
85000000,Health and social work services
85300000,Social work and related services
85000000,Health and social work services
77300000,Horticultural services
85312000,Social work services without accommodation
45112700,Landscaping work
60000000,Transport services (excl. Waste transport)
75250000,Fire-brigade and rescue services
60112000,Public road transport services
55524000,School catering services
85322000,Community action programme
71200000,Architectural and related services
72316000,Data analysis services
66110000,Banking services
66110000,Banking services
66110000,Banking services
66110000,Banking services
66110000,Banking services
66110000,Banking services
85300000,Social work and related services
48000000,Software package and information systems
79620000,Supply services of personnel including temporary staff
85320000,Social services
72000000,"IT services: consulting, software development, Internet and support"
55524000,School catering services
85312000,Social work services without accommodation
55524000,School catering services
55524000,School catering services
60120000,Taxi services
72260000,Software-related services
85140000,Miscellaneous health services
85140000,Miscellaneous health services
85140000,Miscellaneous health services
85140000,Miscellaneous health services
85140000,Miscellaneous health services
85100000,Health services
85320000,Social services
85311300,Welfare services for children and young people
39340000,Gas network equipment
64121200,Parcel delivery services
60171000,Hire of passenger cars with driver
71631430,Leak-testing services
71631430,Leak-testing services
71631430,Leak-testing services
71631430,Leak-testing services
72000000,"IT services: consulting, software development, Internet and support"
79998000,Coaching services
64200000,Telecommunications services
70000000,Real estate services
79993000,Building and facilities management services
73000000,Research and development services and related consultancy services
45000000,Construction work
50230000,"Repair, maintenance and associated services related to roads and other equipment"
79993000,Building and facilities management services
79993000,Building and facilities management services
79993000,Building and facilities management services
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
79710000,Security services
90919300,School cleaning services
50514200,Repair and maintenance services of reservoirs
50514200,Repair and maintenance services of reservoirs
50514200,Repair and maintenance services of reservoirs
79994000,Contract administration services
64200000,Telecommunications services
79330000,Statistical services
33741300,Hand sanitizer
50230000,"Repair, maintenance and associated services related to roads and other equipment"
45000000,Construction work
34121000,Buses and coaches
34121000,Buses and coaches
34121000,Buses and coaches
34121000,Buses and coaches
43221000,Road graders
43312000,Road-surfacing machinery
9211000,Lubricating oils and lubricating agents
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
71200000,Architectural and related services
71200000,Architectural and related services
71200000,Architectural and related services
71200000,Architectural and related services
71200000,Architectural and related services
71200000,Architectural and related services
71200000,Architectural and related services
71200000,Architectural and related services
71200000,Architectural and related services
72000000,"IT services: consulting, software development, Internet and support"
72000000,"IT services: consulting, software development, Internet and support"
92500000,"Library, archives, museums and other cultural services"
72263000,Software implementation services
45213321,Railway station construction work
35722000,Radar
48120000,Flight control software package
32344270,Radio and telephone control system
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
48814200,Patient-administration system
42123000,Compressors
71700000,Monitoring and control services
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45422000,Carpentry installation work
45215210,Construction work for subsidised residential accommodation
33111000,X-ray devices
33113100,Magnetic resonance scanners
33111720,Angiography devices
31625100,Fire-detection systems
33115000,Tomography devices
22110000,Printed books
22110000,Printed books
33115000,Tomography devices
37400000,Sports goods and equipment
50000000,Repair and maintenance services
75231000,Judicial services
75231000,Judicial services
75231000,Judicial services
75231000,Judicial services
75231000,Judicial services
71240000,"Architectural, engineering and planning services"
71240000,"Architectural, engineering and planning services"
71240000,"Architectural, engineering and planning services"
71240000,"Architectural, engineering and planning services"
79410000,Business and management consultancy services
71000000,"Architectural, construction, engineering and inspection services"
71000000,"Architectural, construction, engineering and inspection services"
71000000,"Architectural, construction, engineering and inspection services"
71200000,Architectural and related services
98310000,Washing and dry-cleaning services
72212463,Statistical software development services
50511000,Repair and maintenance services of pumps
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45451000,Decoration work
39160000,School furniture
39160000,School furniture
39160000,School furniture
63724000,Navigation services
42416100,Lifts
39141400,Fitted kitchens
34000000,Transport equipment and auxiliary products to transportation
34000000,Transport equipment and auxiliary products to transportation
48983000,Development software package
63724000,Navigation services
92521100,Museum-exhibition services
34928110,Road barriers
48100000,Industry specific software package
51110000,Installation services of electrical equipment
85000000,Health and social work services
85312000,Social work services without accommodation
85312000,Social work services without accommodation
79821100,Proofreading services
60000000,Transport services (excl. Waste transport)
90500000,Refuse and waste related services
85100000,Health services
85300000,Social work and related services
60000000,Transport services (excl. Waste transport)
73000000,Research and development services and related consultancy services
55524000,School catering services
80512000,Dog training services
79200000,"Accounting, auditing and fiscal services"
55524000,School catering services
85300000,Social work and related services
85300000,Social work and related services
85000000,Health and social work services
85000000,Health and social work services
79710000,Security services
85000000,Health and social work services
77314000,Grounds maintenance services
77000000,"Agricultural, forestry, horticultural, aquacultural and apicultural services"
77000000,"Agricultural, forestry, horticultural, aquacultural and apicultural services"
77000000,"Agricultural, forestry, horticultural, aquacultural and apicultural services"
77000000,"Agricultural, forestry, horticultural, aquacultural and apicultural services"
77000000,"Agricultural, forestry, horticultural, aquacultural and apicultural services"
77000000,"Agricultural, forestry, horticultural, aquacultural and apicultural services"
77000000,"Agricultural, forestry, horticultural, aquacultural and apicultural services"
85000000,Health and social work services
85000000,Health and social work services
79620000,Supply services of personnel including temporary staff
98000000,"Other community, social and personal services"
85000000,Health and social work services
31170000,Transformers
50000000,Repair and maintenance services
73210000,Research consultancy services
