#,original_cpv,Original_cpv_text,title,short_desc_eng,long_desc_eng
1,9134220,Diesel fuel (EN 590),Lieferung/Bereitstellung von Dieselkraftstoff – DIN EN 590,"",""
2,9134220,Diesel fuel (EN 590),Lieferung/Bereitstellung von Dieselkraftstoff – DIN EN 590,"",""
3,44221110,Window frames,"Appalto della fornitura e montaggio di serramenti ed infissi presso gli impianti di depurazione, sollevamenti fognari, di potabilizzazione e delle dighe gestiti da Abbanoa S.p.A.","",""
4,34927100,Road salt,Taumittel 2019,"",""
5,9134220,Diesel fuel (EN 590),Lieferung/Bereitstellung von Dieselkraftstoff – DIN EN 590,"",""
6,34114400,Minibuses,Udbud med forhandling af minibusser og kassevogne,"",""
7,9310000,Electricity,Przetarg nieograniczony na dostawe energii elektrycznej – Grupa Zakupowa nr XXIX/2020 Voltra,"",""
8,34114400,Minibuses,Udbud med forhandling af minibusser og kassevogne,"",""
9,45233220,Surface work for roads,"Asphalt Works for 5 Municipalities, Framework Agreement","The competition concerns the delivery of asphalt works on municipal roads, streets, foot and cycle paths, pavements, squares, parking places, some private roads and any selected new installations that are operated and maintained by the individual municipalities.The annual value of the procurement is estimated to be: 15 000 000 NOK-30 000 000 NOK excluding VAT per year. The value is an estimate and, thus, not binding. See the tender documentation for further information.","Lots/groupsTenders cannot be submitted for parts of the assignment and alternative tenders are not allowed. The contracting authority has considered dividing up the assignment in accordance with PPR §19-4, but has decided that this is not suitable for this type of contract."
10,45314310,Installation of cable laying,Provisional Cable Installations at Mosseporten Transformer Station,The establishment of a provisional cable installations at Mosseporten transformation station.,The establishment of a provisional cable installations at Mosseporten transformation station.
11,45231400,Construction work for electricity power lines,Power Line Contract,Construction of a power line route in Moss.,Construction of a power line route in Moss.
12,45100000,Site preparation work,Building and Ground work in Mosseporten Transformer Station,Building and ground work in Mosseporten transformer station.,Building and ground work in Mosseporten transformer station.
13,45100000,Site preparation work,"Framework Agreement, Excavating Contractor — Test Project Archaeology (New Publication)","The contract includes all work that needs to be carried out with an excavator or similar machinery and associated necessary works, in connection with archaeological records, surveys and excavations.","Test project archaeology archaeology — excavating contractor.The contract includes all work that needs to be carried out with an excavator or similar machinery and associated necessary works, in connection with archaeological records, surveys and excavations."
14,45100000,Site preparation work,"Framework Agreement, Excavating Contractor — Test Project Archaeology (New Publication)","The contract includes all work that needs to be carried out with an excavator or similar machinery and associated necessary works, in connection with archaeological records, surveys and excavations.",Test project archaeology archaeology — excavating contractor.The framework agreement period is 2 years with an option for 1 + 1 year extension.
15,38421100,Water meters,Water Meters,"ØRIK invites tenderers to an open tender competition for the delivery of water meters for the municipalities of: Eidsvoll, Gjerdrum, Hurdal, Nannestad, Nes and Ullensaker.See the requirement specifications for further information.","ØRIK invites tenderers to an open tender competition for the delivery of water meters for the municipalities of: Eidsvoll, Gjerdrum, Hurdal, Nannestad, Nes and Ullensaker.See the requirement specifications for further information."
16,39514000,Toilet and kitchen linen,Nursing Home Textiles,"A framework agreement will be established for supplementary purchase of textiles for the majority of the municipal nursing homes, but also to other entities such as for e.g. nursery schools.This procurement is a collaboration between the Nursing Home Agency in Oslo Municipality, Nesodden, Vestby, Ås, Ski and Oppegård Municipalities.","The textiles include i.a. duvets, pillows, bedding, sheets,water-proof cloths, etc. and baby-bibs for nursery schools. For a comprehensive list, see Annex 1, the contracting authority's requirement specification.The exception is work clothing, bedspreads of upholstery fabric, upholstery fabrics and curtains."
